k-means,MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.0,0.1,0.18,0.06,4,24,8,200
0.0,0.1,0.19,0.14,4,24,16,200
0.0,0.14,0.21,0.32,4,24,32,200
0.0,0.2,0.25,0.6,4,24,64,200
0.0,0.04,0.0,0.0,4,36,1,200
0.0,0.04,0.0,0.0,4,36,2,200
0.0,0.04,0.0,0.01,4,36,4,200
0.0,0.05,0.0,0.04,4,36,8,200
0.0,0.05,0.0,0.08,4,36,16,200
0.0,0.09,0.0,0.25,4,36,32,200
0.0,0.13,0.0,0.5,4,36,64,200
0.0,0.0,0.04,0.07,2,12,1,500
0.0,0.0,0.04,0.07,2,12,2,500
0.0,0.0,0.04,0.07,2,12,4,500
0.0,0.0,0.05,0.07,2,12,8,500
0.0,0.0,0.05,0.07,2,12,16,500
0.0,0.0,0.04,0.11,2,12,32,500
0.0,0.0,0.06,0.2,2,12,64,500
0.0,0.02,0.0,0.04,2,24,1,500
0.0,0.01,0.0,0.03,2,24,2,500
0.0,0.02,0.0,0.04,2,24,4,500
0.0,0.01,0.0,0.04,2,24,8,500
0.0,0.02,0.0,0.1,2,24,16,500
0.0,0.03,0.0,0.19,2,24,32,500
0.0,0.02,0.0,0.3,2,24,64,500
0.0,0.01,0.06,0.04,2,36,1,500
0.0,0.01,0.06,0.04,2,36,2,500
0.0,0.01,0.06,0.06,2,36,4,500
0.0,0.02,0.06,0.06,2,36,8,500
0.0,0.01,0.06,0.09,2,36,16,500
0.0,0.02,0.06,0.15,2,36,32,500
0.0,0.02,0.06,0.27,2,36,64,500
0.0,0.01,0.03,0.02,3,12,1,500
0.0,0.02,0.04,0.02,3,12,2,500
0.0,0.02,0.02,0.02,3,12,4,500
0.0,0.02,0.02,0.04,3,12,8,500
0.0,0.02,0.03,0.09,3,12,16,500
0.0,0.04,0.01,0.14,3,12,32,500
0.0,0.04,0.02,0.4,3,12,64,500
0.0,0.02,0.01,0.0,3,24,1,500
0.0,0.02,0.01,0.0,3,24,2,500
0.0,0.02,0.01,0.0,3,24,4,500
0.0,0.02,0.01,0.03,3,24,8,500
0.0,0.02,0.01,0.04,3,24,16,500
0.0,0.04,0.01,0.09,3,24,32,500
0.0,0.03,0.01,0.25,3,24,64,500
0.0,0.02,0.0,0.0,3,36,1,500
0.0,0.02,0.0,0.0,3,36,2,500
0.0,0.01,0.0,0.0,3,36,4,500
0.0,0.01,0.0,0.01,3,36,8,500
0.0,0.01,0.0,0.03,3,36,16,500
0.0,0.01,0.0,0.08,3,36,32,500
0.0,0.01,0.0,0.16,3,36,64,500
0.0,0.07,0.02,0.03,4,12,1,500
0.0,0.08,0.02,0.03,4,12,2,500
0.0,0.08,0.02,0.05,4,12,4,500
0.0,0.08,0.02,0.03,4,12,8,500
0.0,0.08,0.02,0.11,4,12,16,500
0.0,0.08,0.02,0.26,4,12,32,500
0.0,0.09,0.04,0.44,4,12,64,500
0.0,0.04,0.0,0.0,4,24,1,500
0.0,0.04,0.0,0.02,4,24,2,500
0.0,0.03,0.0,0.03,4,24,4,500
0.0,0.04,0.0,0.03,4,24,8,500
0.0,0.04,0.0,0.08,4,24,16,500
0.0,0.05,0.0,0.22,4,24,32,500
0.0,0.07,0.0,0.46,4,24,64,500
0.0,0.03,0.03,0.0,4,36,1,500
0.0,0.03,0.03,0.01,4,36,2,500
0.0,0.03,0.03,0.0,4,36,4,500
0.0,0.03,0.03,0.03,4,36,8,500
0.0,0.03,0.03,0.06,4,36,16,500
0.0,0.04,0.05,0.24,4,36,32,500
0.0,0.04,0.05,0.51,4,36,64,500
0.0,0.02,0.07,0.03,2,12,1,1000
0.0,0.02,0.08,0.03,2,12,2,1000
0.0,0.02,0.07,0.03,2,12,4,1000
0.0,0.02,0.08,0.03,2,12,8,1000
0.0,0.02,0.08,0.03,2,12,16,1000
0.0,0.02,0.07,0.09,2,12,32,1000
0.0,0.04,0.09,0.23,2,12,64,1000
0.0,0.0,0.0,0.11,2,24,1,1000
0.0,0.0,0.0,0.11,2,24,2,1000
0.0,0.0,0.0,0.11,2,24,4,1000
0.0,0.0,0.0,0.12,2,24,8,1000
0.0,0.0,0.0,0.13,2,24,16,1000
0.0,0.0,0.0,0.2,2,24,32,1000
0.0,0.0,0.0,0.31,2,24,64,1000
0.0,0.0,0.03,0.07,2,36,1,1000
0.0,0.0,0.03,0.07,2,36,2,1000
0.0,0.0,0.03,0.06,2,36,4,1000
0.0,0.0,0.03,0.07,2,36,8,1000
0.0,0.0,0.03,0.08,2,36,16,1000
0.0,0.0,0.03,0.15,2,36,32,1000
0.0,0.0,0.03,0.27,2,36,64,1000
0.0,0.0,0.02,0.03,3,12,1,1000
0.0,0.0,0.02,0.03,3,12,2,1000
0.0,0.0,0.02,0.03,3,12,4,1000
0.0,0.0,0.02,0.03,3,12,8,1000
0.0,0.0,0.02,0.07,3,12,16,1000
0.0,0.0,0.02,0.2,3,12,32,1000
0.0,0.0,0.02,0.36,3,12,64,1000
0.0,0.01,0.25,0.02,3,24,1,1000
0.0,0.01,0.26,0.02,3,24,2,1000
0.0,0.01,0.25,0.02,3,24,4,1000
0.0,0.01,0.24,0.03,3,24,8,1000
0.0,0.01,0.26,0.03,3,24,16,1000
0.0,0.01,0.25,0.13,3,24,32,1000
0.0,0.01,0.27,0.28,3,24,64,1000
0.0,0.0,0.01,0.01,3,36,1,1000
0.0,0.0,0.01,0.0,3,36,2,1000
0.0,0.0,0.01,0.01,3,36,4,1000
0.0,0.0,0.01,0.01,3,36,8,1000
0.0,0.0,0.01,0.01,3,36,16,1000
0.0,0.0,0.01,0.08,3,36,32,1000
0.0,0.0,0.02,0.22,3,36,64,1000
0.0,0.04,0.06,0.01,4,12,1,1000
0.0,0.04,0.06,0.01,4,12,2,1000
0.0,0.04,0.06,0.01,4,12,4,1000
0.0,0.04,0.06,0.01,4,12,8,1000
0.0,0.04,0.07,0.03,4,12,16,1000
0.0,0.04,0.08,0.12,4,12,32,1000
0.0,0.05,0.07,0.4,4,12,64,1000
0.0,0.0,0.0,0.01,4,24,1,1000
0.0,0.0,0.0,0.01,4,24,2,1000
0.0,0.0,0.0,0.02,4,24,4,1000
0.0,0.0,0.0,0.04,4,24,8,1000
0.0,0.0,0.0,0.07,4,24,16,1000
0.0,0.0,0.0,0.23,4,24,32,1000
0.0,0.0,0.0,0.47,4,24,64,1000
0.0,0.05,0.02,0.0,4,36,1,1000
0.0,0.07,0.02,0.01,4,36,2,1000
0.0,0.04,0.02,0.01,4,36,4,1000
0.0,0.05,0.02,0.01,4,36,8,1000
0.0,0.07,0.02,0.03,4,36,16,1000
0.0,0.07,0.02,0.13,4,36,32,1000
0.0,0.06,0.01,0.45,4,36,64,1000
0.0,0.05,0.0,0.07,2,12,1,2500
0.0,0.05,0.01,0.07,2,12,2,2500
0.0,0.05,0.01,0.06,2,12,4,2500
0.0,0.05,0.01,0.09,2,12,8,2500
0.0,0.05,0.01,0.09,2,12,16,2500
0.0,0.05,0.02,0.19,2,12,32,2500
0.0,0.05,0.03,0.22,2,12,64,2500
0.0,0.0,0.13,0.09,2,24,1,2500
0.0,0.0,0.12,0.08,2,24,2,2500
0.0,0.0,0.12,0.1,2,24,4,2500
0.0,0.0,0.13,0.12,2,24,8,2500
0.0,0.0,0.13,0.15,2,24,16,2500
0.0,0.0,0.13,0.17,2,24,32,2500
0.0,0.0,0.15,0.33,2,24,64,2500
0.0,0.0,0.13,0.12,2,36,1,2500
0.0,0.0,0.13,0.13,2,36,2,2500
0.0,0.0,0.13,0.12,2,36,4,2500
0.0,0.0,0.13,0.12,2,36,8,2500
0.0,0.0,0.13,0.13,2,36,16,2500
0.0,0.0,0.14,0.17,2,36,32,2500
0.0,0.0,0.14,0.26,2,36,64,2500
0.0,0.09,0.05,0.01,3,12,1,2500
0.0,0.09,0.05,0.03,3,12,2,2500
0.0,0.09,0.05,0.02,3,12,4,2500
0.0,0.09,0.05,0.03,3,12,8,2500
0.0,0.09,0.05,0.05,3,12,16,2500
0.0,0.09,0.05,0.15,3,12,32,2500
0.0,0.09,0.05,0.36,3,12,64,2500
0.0,0.01,0.02,0.02,3,24,1,2500
0.0,0.01,0.03,0.02,3,24,2,2500
0.0,0.01,0.03,0.02,3,24,4,2500
0.0,0.01,0.03,0.02,3,24,8,2500
0.0,0.01,0.03,0.04,3,24,16,2500
0.0,0.01,0.03,0.15,3,24,32,2500
0.0,0.01,0.03,0.24,3,24,64,2500
0.0,0.0,0.19,0.02,3,36,1,2500
0.0,0.0,0.2,0.02,3,36,2,2500
0.0,0.0,0.2,0.02,3,36,4,2500
0.0,0.0,0.2,0.02,3,36,8,2500
0.0,0.0,0.2,0.04,3,36,16,2500
0.0,0.0,0.2,0.08,3,36,32,2500
0.0,0.0,0.21,0.22,3,36,64,2500
0.0,0.0,0.0,0.02,4,12,1,2500
0.0,0.0,0.0,0.03,4,12,2,2500
0.0,0.0,0.0,0.02,4,12,4,2500
0.0,0.0,0.0,0.03,4,12,8,2500
0.0,0.0,0.0,0.05,4,12,16,2500
0.0,0.0,0.0,0.1,4,12,32,2500
0.0,0.0,0.02,0.21,4,12,64,2500
0.0,0.01,0.0,0.02,4,24,1,2500
0.0,0.01,0.0,0.03,4,24,2,2500
0.0,0.01,0.0,0.02,4,24,4,2500
0.0,0.01,0.0,0.04,4,24,8,2500
0.0,0.01,0.0,0.08,4,24,16,2500
0.0,0.01,0.01,0.27,4,24,32,2500
0.0,0.01,0.02,0.56,4,24,64,2500
0.0,0.0,0.05,0.0,4,36,1,2500
0.0,0.0,0.05,0.02,4,36,2,2500
0.0,0.0,0.05,0.01,4,36,4,2500
0.0,0.0,0.05,0.04,4,36,8,2500
0.0,0.0,0.05,0.06,4,36,16,2500
0.0,0.0,0.05,0.13,4,36,32,2500
0.0,0.0,0.06,0.33,4,36,64,2500
0.0,0.0,0.1,0.03,2,12,1,5000
0.0,0.0,0.1,0.03,2,12,2,5000
0.0,0.0,0.1,0.03,2,12,4,5000
0.0,0.0,0.11,0.03,2,12,8,5000
0.0,0.0,0.1,0.03,2,12,16,5000
0.0,0.0,0.1,0.04,2,12,32,5000
0.0,0.0,0.09,0.12,2,12,64,5000
0.0,0.02,0.0,0.07,2,24,1,5000
0.0,0.02,0.0,0.07,2,24,2,5000
0.0,0.02,0.0,0.08,2,24,4,5000
0.0,0.02,0.0,0.08,2,24,8,5000
0.0,0.02,0.0,0.1,2,24,16,5000
0.0,0.02,0.0,0.16,2,24,32,5000
0.0,0.02,0.0,0.34,2,24,64,5000
0.0,0.0,0.01,0.09,2,36,1,5000
0.0,0.0,0.01,0.09,2,36,2,5000
0.0,0.0,0.01,0.09,2,36,4,5000
0.0,0.0,0.01,0.09,2,36,8,5000
0.0,0.0,0.01,0.1,2,36,16,5000
0.0,0.0,0.01,0.14,2,36,32,5000
0.0,0.0,0.01,0.22,2,36,64,5000
0.0,0.0,0.18,0.01,3,12,1,5000
0.0,0.0,0.17,0.01,3,12,2,5000
0.0,0.0,0.17,0.01,3,12,4,5000
0.0,0.0,0.18,0.03,3,12,8,5000
0.0,0.0,0.18,0.06,3,12,16,5000
0.0,0.0,0.17,0.12,3,12,32,5000
0.0,0.0,0.19,0.28,3,12,64,5000
