MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.23,0.46,0.14,3,36,16,200
0.37,0.82,0.61,3,36,32,200
0.41,1.0,1.0,3,36,64,200
0.04,0.05,0.01,4,12,1,200
0.04,0.02,0.01,4,12,2,200
0.06,0.03,0.01,4,12,4,200
0.08,0.04,0.04,4,12,8,200
0.18,0.06,0.17,4,12,16,200
0.42,0.22,0.74,4,12,32,200
0.59,0.56,1.0,4,12,64,200
0.03,0.09,0.01,4,24,1,200
0.04,0.09,0.01,4,24,2,200
0.04,0.1,0.02,4,24,4,200
0.08,0.09,0.07,4,24,8,200
0.18,0.26,0.34,4,24,16,200
0.36,0.27,0.93,4,24,32,200
0.4,0.37,1.0,4,24,64,200
0.02,0.04,0.0,4,36,1,200
0.02,0.04,0.01,4,36,2,200
0.02,0.1,0.01,4,36,4,200
0.03,0.16,0.02,4,36,8,200
0.12,0.57,0.16,4,36,16,200
0.19,0.9,0.74,4,36,32,200
0.26,1.0,1.0,4,36,64,200
0.12,0.09,0.03,2,12,1,500
0.12,0.08,0.04,2,12,2,500
0.13,0.09,0.06,2,12,4,500
0.17,0.13,0.11,2,12,8,500
0.28,0.11,0.23,2,12,16,500
0.36,0.24,0.76,2,12,32,500
0.37,0.31,0.99,2,12,64,500
0.02,0.06,0.08,2,24,1,500
0.03,0.08,0.09,2,24,2,500
0.04,0.07,0.11,2,24,4,500
0.04,0.12,0.2,2,24,8,500
0.04,0.22,0.44,2,24,16,500
0.05,0.18,0.96,2,24,32,500
0.05,0.68,1.0,2,24,64,500
0.05,0.03,0.08,2,36,1,500
0.06,0.03,0.08,2,36,2,500
0.07,0.06,0.11,2,36,4,500
0.08,0.09,0.19,2,36,8,500
0.14,0.28,0.42,2,36,16,500
0.17,0.44,0.84,2,36,32,500
0.17,0.66,1.0,2,36,64,500
0.01,0.17,0.0,3,12,1,500
0.01,0.18,0.01,3,12,2,500
0.02,0.17,0.02,3,12,4,500
0.02,0.17,0.06,3,12,8,500
0.06,0.2,0.33,3,12,16,500
0.07,0.39,0.95,3,12,32,500
0.07,0.78,1.0,3,12,64,500
0.06,0.03,0.0,3,24,1,500
0.08,0.04,0.0,3,24,2,500
0.11,0.06,0.01,3,24,4,500
0.23,0.07,0.07,3,24,8,500
0.42,0.08,0.46,3,24,16,500
0.53,0.17,0.98,3,24,32,500
0.53,0.65,1.0,3,24,64,500
0.02,0.13,0.0,3,36,1,500
0.02,0.16,0.01,3,36,2,500
0.02,0.26,0.03,3,36,4,500
0.03,0.4,0.05,3,36,8,500
0.04,0.74,0.3,3,36,16,500
0.04,0.96,0.98,3,36,32,500
0.04,1.0,1.0,3,36,64,500
0.02,0.07,0.0,4,12,1,500
0.03,0.1,0.0,4,12,2,500
0.06,0.14,0.02,4,12,4,500
0.19,0.13,0.15,4,12,8,500
0.48,0.17,0.63,4,12,16,500
0.65,0.31,1.0,4,12,32,500
0.65,0.56,1.0,4,12,64,500
0.05,0.08,0.04,4,24,1,500
0.07,0.06,0.04,4,24,2,500
0.1,0.07,0.08,4,24,4,500
0.16,0.16,0.21,4,24,8,500
0.22,0.13,0.8,4,24,16,500
0.32,0.13,1.0,4,24,32,500
0.32,0.36,1.0,4,24,64,500
0.06,0.06,0.03,4,36,1,500
0.06,0.08,0.03,4,36,2,500
0.12,0.13,0.09,4,36,4,500
0.19,0.27,0.18,4,36,8,500
0.29,0.54,0.64,4,36,16,500
0.35,0.94,1.0,4,36,32,500
0.35,1.0,1.0,4,36,64,500
0.03,0.02,0.02,2,12,1,1000
0.03,0.01,0.03,2,12,2,1000
0.03,0.01,0.07,2,12,4,1000
0.04,0.0,0.08,2,12,8,1000
0.07,0.08,0.33,2,12,16,1000
0.07,0.24,0.88,2,12,32,1000
0.07,0.36,1.0,2,12,64,1000
0.05,0.04,0.08,2,24,1,1000
0.08,0.04,0.09,2,24,2,1000
0.11,0.06,0.15,2,24,4,1000
0.12,0.12,0.36,2,24,8,1000
0.14,0.2,0.73,2,24,16,1000
0.15,0.43,1.0,2,24,32,1000
0.15,0.93,1.0,2,24,64,1000
0.04,0.1,0.05,2,36,1,1000
0.05,0.12,0.08,2,36,2,1000
0.07,0.16,0.12,2,36,4,1000
0.13,0.38,0.35,2,36,8,1000
0.21,0.6,0.71,2,36,16,1000
0.21,0.89,0.99,2,36,32,1000
0.21,1.0,1.0,2,36,64,1000
0.19,0.04,0.13,3,12,1,1000
0.22,0.04,0.16,3,12,2,1000
0.26,0.02,0.21,3,12,4,1000
0.4,0.05,0.48,3,12,8,1000
0.53,0.06,0.96,3,12,16,1000
0.57,0.12,1.0,3,12,32,1000
0.57,0.27,1.0,3,12,64,1000
0.09,0.1,0.05,3,24,1,1000
0.11,0.11,0.08,3,24,2,1000
0.15,0.08,0.11,3,24,4,1000
0.17,0.12,0.22,3,24,8,1000
0.19,0.15,0.78,3,24,16,1000
0.2,0.36,1.0,3,24,32,1000
0.2,0.5,1.0,3,24,64,1000
