k-means,MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.01,0.09,0.16,0.2,2,12,2,2500
0.11,0.12,0.02,0.55,2,12,4,2500
0.47,0.2,0.0,0.92,2,12,8,2500
1.0,0.24,0.21,1.0,2,12,16,2500
1.0,0.24,0.33,1.0,2,12,32,2500
1.0,0.24,0.33,1.0,2,12,64,2500
0.0,0.09,0.07,0.15,2,24,1,2500
0.02,0.13,0.09,0.3,2,24,2,2500
0.17,0.29,0.09,0.63,2,24,4,2500
0.66,0.72,0.13,0.99,2,24,8,2500
0.99,0.99,0.14,1.0,2,24,16,2500
1.0,1.0,0.49,1.0,2,24,32,2500
1.0,1.0,0.91,1.0,2,24,64,2500
0.0,0.12,0.04,0.13,2,36,1,2500
0.0,0.18,0.05,0.19,2,36,2,2500
0.0,0.25,0.16,0.6,2,36,4,2500
0.01,0.32,0.17,0.98,2,36,8,2500
0.58,0.35,0.34,1.0,2,36,16,2500
1.0,0.36,0.47,1.0,2,36,32,2500
1.0,0.36,0.98,1.0,2,36,64,2500
0.01,0.05,0.12,0.08,3,12,1,2500
0.01,0.08,0.13,0.2,3,12,2,2500
0.16,0.17,0.12,0.8,3,12,4,2500
0.67,0.28,0.14,1.0,3,12,8,2500
0.99,0.31,0.23,1.0,3,12,16,2500
1.0,0.32,0.27,1.0,3,12,32,2500
1.0,0.32,0.41,1.0,3,12,64,2500
0.0,0.09,0.02,0.04,3,24,1,2500
0.0,0.1,0.05,0.19,3,24,2,2500
0.01,0.16,0.1,0.67,3,24,4,2500
0.21,0.25,0.09,1.0,3,24,8,2500
0.95,0.29,0.21,1.0,3,24,16,2500
1.0,0.29,0.17,1.0,3,24,32,2500
1.0,0.29,0.46,1.0,3,24,64,2500
0.0,0.06,0.1,0.03,3,36,1,2500
0.0,0.11,0.11,0.22,3,36,2,2500
0.03,0.23,0.17,0.77,3,36,4,2500
0.24,0.32,0.37,1.0,3,36,8,2500
0.98,0.42,0.55,1.0,3,36,16,2500
1.0,0.42,0.95,1.0,3,36,32,2500
1.0,0.42,1.0,1.0,3,36,64,2500
0.0,0.18,0.0,0.1,4,12,1,2500
0.0,0.33,0.01,0.42,4,12,2,2500
0.06,0.59,0.01,0.91,4,12,4,2500
0.5,0.85,0.01,1.0,4,12,8,2500
1.0,0.97,0.01,1.0,4,12,16,2500
1.0,0.99,0.04,1.0,4,12,32,2500
1.0,0.99,0.22,1.0,4,12,64,2500
0.0,0.09,0.04,0.13,4,24,1,2500
0.01,0.12,0.04,0.44,4,24,2,2500
0.05,0.21,0.09,0.99,4,24,4,2500
0.44,0.36,0.24,1.0,4,24,8,2500
1.0,0.42,0.48,1.0,4,24,16,2500
1.0,0.42,0.62,1.0,4,24,32,2500
1.0,0.42,0.87,1.0,4,24,64,2500
0.0,0.08,0.11,0.05,4,36,1,2500
0.0,0.15,0.11,0.33,4,36,2,2500
0.0,0.46,0.12,0.91,4,36,4,2500
0.23,0.98,0.09,1.0,4,36,8,2500
0.94,1.0,0.27,1.0,4,36,16,2500
1.0,1.0,0.24,1.0,4,36,32,2500
1.0,1.0,1.0,1.0,4,36,64,2500
0.01,0.2,0.1,0.17,2,12,1,5000
0.02,0.27,0.05,0.33,2,12,2,5000
0.24,0.36,0.01,0.84,2,12,4,5000
0.87,0.42,0.0,1.0,2,12,8,5000
1.0,0.45,0.15,1.0,2,12,16,5000
1.0,0.45,0.19,1.0,2,12,32,5000
1.0,0.45,0.18,1.0,2,12,64,5000
0.0,0.02,0.04,0.31,2,24,1,5000
0.01,0.04,0.04,0.48,2,24,2,5000
0.1,0.04,0.11,0.85,2,24,4,5000
0.76,0.05,0.17,1.0,2,24,8,5000
1.0,0.05,0.29,1.0,2,24,16,5000
1.0,0.05,0.44,1.0,2,24,32,5000
1.0,0.05,0.65,1.0,2,24,64,5000
0.0,0.08,0.02,0.17,2,36,1,5000
0.0,0.1,0.07,0.33,2,36,2,5000
0.0,0.1,0.14,0.8,2,36,4,5000
0.07,0.15,0.39,1.0,2,36,8,5000
0.93,0.15,0.81,1.0,2,36,16,5000
1.0,0.15,0.97,1.0,2,36,32,5000
1.0,0.15,1.0,1.0,2,36,64,5000
0.0,0.15,0.06,0.15,3,12,1,5000
0.02,0.27,0.09,0.49,3,12,2,5000
0.13,0.54,0.08,1.0,3,12,4,5000
0.91,0.8,0.09,1.0,3,12,8,5000
1.0,0.84,0.12,1.0,3,12,16,5000
1.0,0.84,0.11,1.0,3,12,32,5000
1.0,0.84,0.23,1.0,3,12,64,5000
0.0,0.13,0.1,0.09,3,24,1,5000
0.0,0.24,0.11,0.53,3,24,2,5000
0.01,0.43,0.15,0.95,3,24,4,5000
0.48,0.51,0.2,1.0,3,24,8,5000
1.0,0.51,0.28,1.0,3,24,16,5000
1.0,0.51,0.51,1.0,3,24,32,5000
1.0,0.51,0.71,1.0,3,24,64,5000
0.0,0.08,0.08,0.12,3,36,1,5000
0.0,0.15,0.18,0.43,3,36,2,5000
0.04,0.27,0.28,0.91,3,36,4,5000
0.61,0.33,0.53,1.0,3,36,8,5000
1.0,0.35,0.83,1.0,3,36,16,5000
1.0,0.35,0.99,1.0,3,36,32,5000
1.0,0.35,1.0,1.0,3,36,64,5000
0.0,0.14,0.01,0.13,4,12,1,5000
0.01,0.17,0.0,0.58,4,12,2,5000
0.15,0.3,0.0,1.0,4,12,4,5000
0.91,0.4,0.0,1.0,4,12,8,5000
1.0,0.4,0.0,1.0,4,12,16,5000
1.0,0.4,0.02,1.0,4,12,32,5000
1.0,0.4,0.04,1.0,4,12,64,5000
0.01,0.19,0.06,0.29,4,24,1,5000
0.01,0.36,0.05,0.84,4,24,2,5000
0.19,0.54,0.12,1.0,4,24,4,5000
0.93,0.71,0.17,1.0,4,24,8,5000
1.0,0.76,0.25,1.0,4,24,16,5000
1.0,0.76,0.39,1.0,4,24,32,5000
1.0,0.76,0.54,1.0,4,24,64,5000
0.0,0.11,0.08,0.16,4,36,1,5000
0.0,0.2,0.06,0.69,4,36,2,5000
0.03,0.36,0.21,0.99,4,36,4,5000
0.6,0.49,0.28,1.0,4,36,8,5000
1.0,0.49,0.34,1.0,4,36,16,5000
1.0,0.49,0.39,1.0,4,36,32,5000
1.0,0.49,0.47,1.0,4,36,64,5000
