MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.05,0.18,1.0,2,24,32,500
0.05,0.68,0.99,2,24,64,500
0.05,0.03,0.05,2,36,1,500
0.06,0.03,0.07,2,36,2,500
0.07,0.06,0.16,2,36,4,500
0.08,0.09,0.39,2,36,8,500
0.14,0.28,0.79,2,36,16,500
0.17,0.44,1.0,2,36,32,500
0.17,0.66,1.0,2,36,64,500
0.01,0.17,0.02,3,12,1,500
0.01,0.18,0.08,3,12,2,500
0.02,0.17,0.21,3,12,4,500
0.02,0.17,0.6,3,12,8,500
0.06,0.2,0.96,3,12,16,500
0.07,0.39,1.0,3,12,32,500
0.07,0.78,1.0,3,12,64,500
0.06,0.03,0.0,3,24,1,500
0.08,0.04,0.0,3,24,2,500
0.11,0.06,0.09,3,24,4,500
0.23,0.07,0.41,3,24,8,500
0.42,0.08,0.92,3,24,16,500
0.53,0.17,1.0,3,24,32,500
0.53,0.65,1.0,3,24,64,500
0.02,0.13,0.01,3,36,1,500
0.02,0.16,0.03,3,36,2,500
0.02,0.26,0.15,3,36,4,500
0.03,0.4,0.47,3,36,8,500
0.04,0.74,0.92,3,36,16,500
0.04,0.96,1.0,3,36,32,500
0.04,1.0,1.0,3,36,64,500
0.02,0.07,0.02,4,12,1,500
0.03,0.1,0.05,4,12,2,500
0.06,0.14,0.22,4,12,4,500
0.19,0.13,0.71,4,12,8,500
0.48,0.17,1.0,4,12,16,500
0.65,0.31,1.0,4,12,32,500
0.65,0.56,1.0,4,12,64,500
0.05,0.08,0.03,4,24,1,500
0.07,0.06,0.07,4,24,2,500
0.1,0.07,0.24,4,24,4,500
0.16,0.16,0.79,4,24,8,500
0.22,0.13,1.0,4,24,16,500
0.32,0.13,1.0,4,24,32,500
0.32,0.36,1.0,4,24,64,500
0.06,0.06,0.03,4,36,1,500
0.06,0.08,0.06,4,36,2,500
0.12,0.13,0.23,4,36,4,500
0.19,0.27,0.73,4,36,8,500
0.29,0.54,1.0,4,36,16,500
0.35,0.94,1.0,4,36,32,500
0.35,1.0,1.0,4,36,64,500
0.03,0.02,0.04,2,12,1,1000
0.03,0.01,0.09,2,12,2,1000
0.03,0.01,0.19,2,12,4,1000
0.04,0.0,0.48,2,12,8,1000
0.07,0.08,0.95,2,12,16,1000
0.07,0.24,1.0,2,12,32,1000
0.07,0.36,1.0,2,12,64,1000
0.05,0.04,0.12,2,24,1,1000
0.08,0.04,0.13,2,24,2,1000
0.11,0.06,0.31,2,24,4,1000
0.12,0.12,0.71,2,24,8,1000
0.14,0.2,0.98,2,24,16,1000
0.15,0.43,1.0,2,24,32,1000
0.15,0.93,1.0,2,24,64,1000
0.04,0.1,0.11,2,36,1,1000
0.05,0.12,0.17,2,36,2,1000
0.07,0.16,0.33,2,36,4,1000
0.13,0.38,0.69,2,36,8,1000
0.21,0.6,0.98,2,36,16,1000
0.21,0.89,1.0,2,36,32,1000
0.21,1.0,1.0,2,36,64,1000
0.19,0.04,0.06,3,12,1,1000
0.22,0.04,0.13,3,12,2,1000
0.26,0.02,0.44,3,12,4,1000
0.4,0.05,0.86,3,12,8,1000
0.53,0.06,1.0,3,12,16,1000
0.57,0.12,1.0,3,12,32,1000
0.57,0.27,1.0,3,12,64,1000
0.09,0.1,0.05,3,24,1,1000
0.11,0.11,0.12,3,24,2,1000
0.15,0.08,0.34,3,24,4,1000
0.17,0.12,0.78,3,24,8,1000
0.19,0.15,1.0,3,24,16,1000
0.2,0.36,1.0,3,24,32,1000
0.2,0.5,1.0,3,24,64,1000
0.03,0.06,0.01,3,36,1,1000
0.03,0.06,0.03,3,36,2,1000
0.11,0.15,0.23,3,36,4,1000
0.22,0.35,0.84,3,36,8,1000
0.3,0.57,1.0,3,36,16,1000
0.32,0.85,1.0,3,36,32,1000
0.33,1.0,1.0,3,36,64,1000
0.04,0.02,0.05,4,12,1,1000
0.1,0.02,0.09,4,12,2,1000
0.25,0.04,0.6,4,12,4,1000
0.74,0.02,1.0,4,12,8,1000
1.0,0.04,1.0,4,12,16,1000
1.0,0.37,1.0,4,12,32,1000
1.0,0.88,1.0,4,12,64,1000
0.03,0.05,0.04,4,24,1,1000
0.06,0.06,0.15,4,24,2,1000
0.11,0.08,0.68,4,24,4,1000
0.22,0.18,1.0,4,24,8,1000
0.38,0.28,1.0,4,24,16,1000
0.49,0.54,1.0,4,24,32,1000
0.49,0.72,1.0,4,24,64,1000
0.06,0.07,0.1,4,36,1,1000
0.08,0.06,0.19,4,36,2,1000
0.16,0.13,0.57,4,36,4,1000
0.28,0.27,0.99,4,36,8,1000
0.4,0.49,1.0,4,36,16,1000
0.46,0.82,1.0,4,36,32,1000
0.46,1.0,1.0,4,36,64,1000
0.04,0.06,0.11,2,12,1,2500
0.09,0.16,0.22,2,12,2,2500
0.12,0.02,0.52,2,12,4,2500
0.2,0.0,0.89,2,12,8,2500
0.24,0.21,1.0,2,12,16,2500
0.24,0.33,1.0,2,12,32,2500
0.24,0.33,1.0,2,12,64,2500
0.09,0.07,0.15,2,24,1,2500
0.13,0.09,0.3,2,24,2,2500
0.29,0.09,0.61,2,24,4,2500
0.72,0.13,0.96,2,24,8,2500
0.99,0.14,1.0,2,24,16,2500
1.0,0.49,1.0,2,24,32,2500
1.0,0.91,1.0,2,24,64,2500
0.12,0.04,0.13,2,36,1,2500
0.18,0.05,0.19,2,36,2,2500
0.25,0.16,0.59,2,36,4,2500
0.32,0.17,0.97,2,36,8,2500
0.35,0.34,1.0,2,36,16,2500
0.36,0.47,1.0,2,36,32,2500
0.36,0.98,1.0,2,36,64,2500
0.05,0.12,0.06,3,12,1,2500
0.08,0.13,0.2,3,12,2,2500
0.17,0.12,0.78,3,12,4,2500
0.28,0.14,1.0,3,12,8,2500
0.31,0.23,1.0,3,12,16,2500
0.32,0.27,1.0,3,12,32,2500
0.32,0.41,1.0,3,12,64,2500
0.09,0.02,0.04,3,24,1,2500
0.1,0.05,0.19,3,24,2,2500
0.16,0.1,0.63,3,24,4,2500
0.25,0.09,1.0,3,24,8,2500
0.29,0.21,1.0,3,24,16,2500
0.29,0.17,1.0,3,24,32,2500
0.29,0.46,1.0,3,24,64,2500
0.06,0.1,0.03,3,36,1,2500
0.11,0.11,0.2,3,36,2,2500
0.23,0.17,0.71,3,36,4,2500
0.32,0.37,1.0,3,36,8,2500
0.42,0.55,1.0,3,36,16,2500
0.42,0.95,1.0,3,36,32,2500
0.42,1.0,1.0,3,36,64,2500
0.18,0.0,0.1,4,12,1,2500
0.33,0.01,0.42,4,12,2,2500
0.59,0.01,0.91,4,12,4,2500
0.85,0.01,1.0,4,12,8,2500
0.97,0.01,1.0,4,12,16,2500
0.99,0.04,1.0,4,12,32,2500
0.99,0.22,1.0,4,12,64,2500
0.09,0.04,0.11,4,24,1,2500
0.12,0.04,0.42,4,24,2,2500
0.21,0.09,0.98,4,24,4,2500
