MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.11,0.65,1.0,2,24,50,200,0.87
0.11,0.78,1.0,2,24,60,200,0.96
0.11,0.85,1.0,2,24,70,200,0.99
0.11,0.97,1.0,2,24,80,200,1.0
0.11,0.98,1.0,2,24,90,200,1.0
0.11,0.99,1.0,2,24,100,200,1.0
0.08,0.03,0.06,2,36,1,200,0.0
0.13,0.14,0.36,2,36,10,200,0.0
0.18,0.43,0.73,2,36,20,200,0.01
0.19,0.58,0.9,2,36,30,200,0.03
0.19,0.71,0.98,2,36,40,200,0.27
0.19,0.74,1.0,2,36,50,200,0.48
0.19,0.77,1.0,2,36,60,200,0.68
0.19,0.9,1.0,2,36,70,200,0.85
0.19,0.88,1.0,2,36,80,200,0.93
0.19,0.83,1.0,2,36,90,200,0.96
0.19,0.76,1.0,2,36,100,200,0.99
0.02,0.06,0.01,3,12,1,200,0.0
0.09,0.15,0.45,3,12,10,200,0.0
0.17,0.35,0.95,3,12,20,200,0.25
0.23,0.42,0.99,3,12,30,200,0.51
0.26,0.46,1.0,3,12,40,200,0.85
0.29,0.57,1.0,3,12,50,200,0.95
0.29,0.62,1.0,3,12,60,200,0.99
0.29,0.72,1.0,3,12,70,200,1.0
0.29,0.76,1.0,3,12,80,200,1.0
0.29,0.84,1.0,3,12,90,200,1.0
0.29,0.89,1.0,3,12,100,200,1.0
0.09,0.04,0.02,3,24,1,200,0.0
0.17,0.08,0.36,3,24,10,200,0.0
0.34,0.2,0.91,3,24,20,200,0.0
0.41,0.1,1.0,3,24,30,200,0.03
0.54,0.13,1.0,3,24,40,200,0.18
0.55,0.3,1.0,3,24,50,200,0.51
0.55,0.36,1.0,3,24,60,200,0.76
0.55,0.46,1.0,3,24,70,200,0.85
0.55,0.71,1.0,3,24,80,200,0.9
0.55,0.74,1.0,3,24,90,200,0.97
0.55,0.94,1.0,3,24,100,200,1.0
0.06,0.08,0.01,3,36,1,200,0.0
0.15,0.3,0.29,3,36,10,200,0.0
0.27,0.54,0.88,3,36,20,200,0.08
0.35,0.76,1.0,3,36,30,200,0.31
0.4,0.97,1.0,3,36,40,200,0.5
0.41,1.0,1.0,3,36,50,200,0.75
0.41,1.0,1.0,3,36,60,200,0.91
0.42,1.0,1.0,3,36,70,200,0.97
0.42,1.0,1.0,3,36,80,200,0.99
0.42,1.0,1.0,3,36,90,200,1.0
0.42,1.0,1.0,3,36,100,200,1.0
0.04,0.05,0.03,4,12,1,200,0.0
0.12,0.04,0.52,4,12,10,200,0.0
0.28,0.11,0.99,4,12,20,200,0.04
0.4,0.22,1.0,4,12,30,200,0.41
0.44,0.28,1.0,4,12,40,200,0.66
0.55,0.4,1.0,4,12,50,200,0.88
0.59,0.44,1.0,4,12,60,200,0.98
0.61,0.58,1.0,4,12,70,200,1.0
0.62,0.64,1.0,4,12,80,200,1.0
0.63,0.75,1.0,4,12,90,200,1.0
0.63,0.82,1.0,4,12,100,200,1.0
0.03,0.09,0.02,4,24,1,200,0.0
0.1,0.14,0.68,4,24,10,200,0.02
0.24,0.3,0.98,4,24,20,200,0.18
0.34,0.28,1.0,4,24,30,200,0.48
0.39,0.57,1.0,4,24,40,200,0.97
0.39,0.56,1.0,4,24,50,200,0.99
0.39,0.36,1.0,4,24,60,200,1.0
0.4,0.41,1.0,4,24,70,200,1.0
0.41,0.42,1.0,4,24,80,200,1.0
0.41,0.57,1.0,4,24,90,200,1.0
0.41,0.67,1.0,4,24,100,200,1.0
0.02,0.04,0.0,4,36,1,200,0.0
0.04,0.34,0.61,4,36,10,200,0.01
0.13,0.69,0.98,4,36,20,200,0.09
0.18,0.87,1.0,4,36,30,200,0.32
0.22,0.96,1.0,4,36,40,200,0.63
0.25,1.0,1.0,4,36,50,200,0.86
0.25,1.0,1.0,4,36,60,200,0.97
0.27,1.0,1.0,4,36,70,200,1.0
0.28,1.0,1.0,4,36,80,200,1.0
0.28,1.0,1.0,4,36,90,200,1.0
0.28,1.0,1.0,4,36,100,200,1.0
0.12,0.09,0.1,2,12,1,500,0.0
0.22,0.11,0.54,2,12,10,500,0.07
0.31,0.12,0.96,2,12,20,500,0.43
0.36,0.23,1.0,2,12,30,500,0.93
0.37,0.27,1.0,2,12,40,500,0.99
0.37,0.27,1.0,2,12,50,500,1.0
0.37,0.31,1.0,2,12,60,500,1.0
0.37,0.3,1.0,2,12,70,500,1.0
0.37,0.37,1.0,2,12,80,500,1.0
0.37,0.37,1.0,2,12,90,500,1.0
0.37,0.37,1.0,2,12,100,500,1.0
0.02,0.06,0.1,2,24,1,500,0.0
0.04,0.16,0.61,2,24,10,500,0.05
0.04,0.22,1.0,2,24,20,500,0.38
0.05,0.19,1.0,2,24,30,500,0.86
0.05,0.2,1.0,2,24,40,500,0.99
0.05,0.48,1.0,2,24,50,500,1.0
0.05,0.75,1.0,2,24,60,500,1.0
0.05,0.64,1.0,2,24,70,500,1.0
0.05,0.86,1.0,2,24,80,500,1.0
0.05,0.76,1.0,2,24,90,500,1.0
0.05,0.87,1.0,2,24,100,500,1.0
0.05,0.03,0.06,2,36,1,500,0.0
0.12,0.13,0.54,2,36,10,500,0.0
0.17,0.35,0.99,2,36,20,500,0.07
0.17,0.4,1.0,2,36,30,500,0.35
0.17,0.65,1.0,2,36,40,500,0.76
0.17,0.58,1.0,2,36,50,500,0.94
0.17,0.59,1.0,2,36,60,500,0.99
0.17,0.7,1.0,2,36,70,500,1.0
0.17,0.79,1.0,2,36,80,500,1.0
0.17,0.81,1.0,2,36,90,500,1.0
0.17,0.8,1.0,2,36,100,500,1.0
0.01,0.17,0.04,3,12,1,500,0.0
0.02,0.13,0.86,3,12,10,500,0.21
0.07,0.22,1.0,3,12,20,500,0.71
