MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.35,1.0,1.0,3,36,100,5000,1.0
0.14,0.01,0.13,4,12,1,5000,0.0
0.4,0.0,1.0,4,12,10,5000,0.99
0.4,0.0,1.0,4,12,20,5000,1.0
0.4,0.02,1.0,4,12,30,5000,1.0
0.4,0.01,1.0,4,12,40,5000,1.0
0.4,0.01,1.0,4,12,50,5000,1.0
0.4,0.07,1.0,4,12,60,5000,1.0
0.4,0.07,1.0,4,12,70,5000,1.0
0.4,0.09,1.0,4,12,80,5000,1.0
0.4,0.46,1.0,4,12,90,5000,1.0
0.4,0.64,1.0,4,12,100,5000,1.0
0.19,0.06,0.29,4,24,1,5000,0.01
0.76,0.19,1.0,4,24,10,5000,1.0
0.76,0.29,1.0,4,24,20,5000,1.0
0.76,0.37,1.0,4,24,30,5000,1.0
0.76,0.42,1.0,4,24,40,5000,1.0
0.76,0.52,1.0,4,24,50,5000,1.0
0.76,0.56,1.0,4,24,60,5000,1.0
0.76,0.56,1.0,4,24,70,5000,1.0
0.76,0.62,1.0,4,24,80,5000,1.0
0.76,0.78,1.0,4,24,90,5000,1.0
0.76,0.83,1.0,4,24,100,5000,1.0
0.11,0.08,0.16,4,36,1,5000,0.0
0.49,0.31,1.0,4,36,10,5000,0.81
0.49,0.46,1.0,4,36,20,5000,1.0
0.49,0.4,1.0,4,36,30,5000,1.0
0.49,0.34,1.0,4,36,40,5000,1.0
0.49,0.36,1.0,4,36,50,5000,1.0
0.49,0.42,1.0,4,36,60,5000,1.0
0.49,0.47,1.0,4,36,70,5000,1.0
0.49,0.61,1.0,4,36,80,5000,1.0
0.49,0.49,1.0,4,36,90,5000,1.0
0.49,0.41,1.0,4,36,100,5000,1.0
