Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers
MYC-1,1.0,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
MYC-2,1.0,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
PIK3CA-1,0.37468966083890914,0.0004999500049995,0.001470441191175,True,True,2.832552339983099,HCC44,p<0.05
PIK3CA-2,0.3839579099118393,0.0004999500049995,0.001470441191175,True,True,2.832552339983099,HCC44,p<0.05
PRDX1-1,0.12212730955056611,0.05699430056994301,0.07401857216875715,False,False,1.1306592967768532,HCC44,p>=0.05
PRDX1-2,0.048404884159092866,0.28657134286571345,0.28946600289466007,False,False,0.5384024358130868,HCC44,p>=0.05
PTK2-1,0.7035581750351572,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
PTK2-2,0.9488843813387424,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
RAC1-1,0.3455869706932229,0.0008999100089991,0.0024997500249975004,True,True,2.602103418604825,HCC44,p<0.05
RAC1-2,0.16090909167699635,0.0327967203279672,0.04728098618709558,True,True,1.3253134735154006,HCC44,p<0.05
RAF1-1,0.08399118328345728,0.10628937106289371,0.11428964630418678,False,False,0.9419931113075011,HCC44,p>=0.05
RAF1-2,0.11454960308665313,0.063993600639936,0.0804919508049195,False,False,1.0942475469089943,HCC44,p>=0.05
RHOA-1,0.865026455026455,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
RHOA-2,0.971031746031746,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
SDHB-1,0.3250325425505586,0.0011998800119988001,0.0032429189513481084,True,True,2.489063905296233,HCC44,p<0.05
SDHB-2,0.7339814814814815,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
SLC2A1-1,0.41242354922188484,0.00029997000299970003,0.0009676451709667743,True,True,3.014283866391473,HCC44,p<0.05
SLC2A2-2,0.39817766095704177,0.00029997000299970003,0.0009676451709667743,True,True,3.014283866391473,HCC44,p<0.05
SMARCB1-1,0.5507098949619693,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
SMARCB1-2,0.2586747882922249,0.006799320067993201,0.015453000154530001,True,True,1.8109871910568138,HCC44,p<0.05
STAT3-1,0.151648943368054,0.03469653034696531,0.04886835260135959,True,True,1.3109723012050642,HCC44,p<0.05
STAT3-2,0.08795099584447086,0.09829017098290171,0.10801117690428759,False,False,0.9665313017658207,HCC44,p>=0.05
SUZ12-1,0.30974580022791626,0.0015998400159984002,0.004102153887175385,True,True,2.386988051647437,HCC44,p<0.05
SUZ12-2,0.6833595352016405,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05
TXN-1,0.10228022637832042,0.07389261073892611,0.08693248322226602,False,False,1.0608179145963297,HCC44,p>=0.05
TXN-2,0.08580448848660527,0.10278972102789721,0.1117279576390187,False,False,0.951838139963161,HCC44,p>=0.05
XBP-1,0.10286052783776878,0.07379262073792621,0.08693248322226602,False,False,1.0608179145963297,HCC44,p>=0.05
XBP-2,0.16085262674553844,0.0327967203279672,0.04728098618709558,True,True,1.3253134735154006,HCC44,p<0.05
YAP1-1,0.0915882740462875,0.09159084091590841,0.10408050104080502,False,False,0.9826306257591809,HCC44,p>=0.05
YAP1-2,0.0654354687066059,0.16548345165483452,0.1706014965513758,False,False,0.7680171634313699,HCC44,p>=0.05
